CVE,Uptime,Updated
CVE-2024-38156,2024-08-02T00:00:00,yes
CVE-2023-7024,2024-01-02T00:00:00,yes
CVE-2023-6856,2024-01-26T00:00:00,yes
CVE-2023-6795,2024-04-11T00:00:00,yes
CVE-2023-6794,2024-04-11T00:00:00,yes
CVE-2023-6792,2024-04-11T00:00:00,yes
CVE-2023-6791,2024-04-11T00:00:00,yes
CVE-2023-6790,2024-04-11T00:00:00,yes
CVE-2023-6702,2024-04-29T00:00:00,yes
CVE-2023-6680,2024-05-17T00:00:00,yes
CVE-2023-6671,2023-12-15T00:00:00,yes
CVE-2023-6670,2023-12-01T00:00:00,yes
CVE-2023-6660,2023-12-21T00:00:00,yes
CVE-2023-6622,2023-12-21T00:00:00,yes
CVE-2023-6560,2024-01-09T00:00:00,yes
CVE-2023-6534,2023-12-20T00:00:00,yes
CVE-2023-6508,2024-01-02T00:00:00,yes
CVE-2023-6396,2023-12-22T00:00:00,yes
CVE-2023-6377,2023-12-24T00:00:00,yes
CVE-2023-6364,2023-12-25T00:00:00,yes
CVE-2023-6350,2023-12-07T00:00:00,yes
CVE-2023-6345,2023-12-12T00:00:00,yes
CVE-2023-6277,2023-12-21T00:00:00,yes
CVE-2023-6217,2024-01-18T00:00:00,yes
CVE-2023-6204,2023-12-22T00:00:00,yes
CVE-2023-6186,2024-05-17T00:00:00,yes
CVE-2023-6185,2024-05-17T00:00:00,yes
CVE-2023-6178,2024-02-08T00:00:00,yes
CVE-2023-6175,2024-03-26T00:00:00,yes
CVE-2023-6174,2023-12-18T00:00:00,yes
CVE-2023-6135,2024-01-26T00:00:00,yes
CVE-2023-6134,2024-06-03T00:00:00,yes
CVE-2023-6111,2023-12-04T00:00:00,yes
CVE-2023-6062,2024-06-13T00:00:00,yes
CVE-2023-6051,2024-05-17T00:00:00,yes
CVE-2023-6033,2024-02-05T00:00:00,yes
CVE-2023-5997,2024-01-29T00:00:00,yes
CVE-2023-5996,2023-11-16T00:00:00,yes
CVE-2023-5995,2024-05-17T00:00:00,yes
CVE-2023-5981,2023-12-29T00:00:00,yes
CVE-2023-5978,2023-12-15T00:00:00,yes
CVE-2023-5967,2024-02-16T00:00:00,yes
CVE-2023-5960,2023-12-04T00:00:00,yes
CVE-2023-5941,2023-12-15T00:00:00,yes
CVE-2023-5871,2023-12-12T00:00:00,yes
CVE-2023-5870,2024-02-16T00:00:00,yes
CVE-2023-5869,2024-02-16T00:00:00,yes
CVE-2023-5868,2023-12-11T00:00:00,yes
CVE-2023-5863,2023-11-10T00:00:00,yes
CVE-2023-5831,2024-05-17T00:00:00,yes
CVE-2023-5825,2024-05-17T00:00:00,yes
CVE-2023-5824,2023-12-12T00:00:00,yes
CVE-2023-5764,2024-04-29T00:00:00,yes
CVE-2023-5752,2023-12-29T00:00:00,yes
