QID,Title,Sub Category,Category,CVE ID,Vendor Reference,CVSS Base,CVSS3.1 Base,Bugtraq ID,Modified,Published,Remediation type,concat
11699,VMware vCenter Server Remote Code Execution Vulnerability (VMSA-2021-0002),"Remote Discovery, Patch Available, Exploit Available, Malware Associated",CGI,"CVE-2021-21972,CVE-2021-21973",VMSA-2021-0002,10,"9,8",,03/16/2023 at 07:29:06 AM (GMT+0100),02/25/2021 at 03:31:08 PM (GMT+0100),Security Patch Installation,"""11699"": ""Security Patch Installation"","
11801,Apache ActiveMQ ActiveMQConnection class Denial of Service Vulnerability,"Remote Discovery, Unix Authenticated Discovery, Patch Available",CGI,CVE-2015-7559,CVE-2015-7559,4,"2,7",,03/04/2023 at 04:05:16 AM (GMT+0100),05/23/2017 at 12:10:16 PM (GMT+0200),Security Patch Installation,"""11801"": ""Security Patch Installation"","
11869,NodeJS Debugger Command Injection,"Multiple Authentication Types Discovery, Patch Available",CGI,CVE-2018-12120,NodeJS v8,"6,8","8,1",,04/03/2023 at 02:33:07 PM (GMT+0200),01/31/2018 at 10:45:25 AM (GMT+0100),Security Patch Installation,"""11869"": ""Security Patch Installation"","
12350,Pandora FMS Cross Site Scripting Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2020-11749,Pandora FMS,"8,5",9,,01/28/2023 at 04:00:40 AM (GMT+0100),03/08/2021 at 01:06:54 PM (GMT+0100),Security Patch Installation,"""12350"": ""Security Patch Installation"","
13085,PHP Denial of Service and Code Execution Vulnerability,Remote Discovery,CGI,"CVE-2014-8626,CVE-2014-9425,CVE-2014-9426,CVE-2014-9427","PHP_ 68618,PHP_ 68676","7,5",'-,,03/03/2023 at 02:44:29 AM (GMT+0100),01/09/2015 at 01:07:03 AM (GMT+0100),Workaround,"""13085"": ""Workaround"","
13377,Advantech WebAccess Stack Buffer Overflow,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2018-18999,,"7,5","7,3",,01/12/2023 at 03:24:58 AM (GMT+0100),01/31/2019 at 11:35:00 AM (GMT+0100),Security Patch Installation,"""13377"": ""Security Patch Installation"","
13602,rconfig unauthenticated remote code exection vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,"CVE-2019-16662,CVE-2019-16663",rconfig,10,"9,8",,01/12/2023 at 03:24:58 AM (GMT+0100),11/19/2019 at 12:25:11 PM (GMT+0100),Security Patch Installation,"""13602"": ""Security Patch Installation"","
13623,Apache Solr Remote Code Execution Vulnerability,"Remote Discovery, Patch Available, Exploit Available",CGI,CVE-2019-12409,CVE-2019-12409,"7,5","9,8",,01/12/2023 at 03:24:59 AM (GMT+0100),11/27/2019 at 11:48:35 AM (GMT+0100),Security Patch Installation,"""13623"": ""Security Patch Installation"","
13702,LifeRay Multiple Remote Code Execution Vulnerability,"Remote Discovery, Patch Available, Exploit Available, Malware Associated",CGI,CVE-2020-7961,CST-7205,"7,5","9,8",,01/12/2023 at 03:25:00 AM (GMT+0100),03/31/2020 at 12:35:24 PM (GMT+0200),Security Patch Installation,"""13702"": ""Security Patch Installation"","
13927,Jenkins Multiple Security Vulnerabilities(Jenkins Security Advisory 2019-09-25 ),"Remote Discovery, Patch Available",CGI,"CVE-2019-10401,CVE-2019-10402,CVE-2019-10403,CVE-2019-10404,CVE-2019-10405,CVE-2019-10406",Jenkins Security Advisory 2019-09-25,"3,5","5,4",,02/24/2023 at 07:04:19 AM (GMT+0100),08/18/2020 at 03:41:06 PM (GMT+0200),Security Patch Installation,"""13927"": ""Security Patch Installation"","
13966,Wordpress File Manager Plugin Remote Code Execution Vulnerability,"Remote Discovery, Patch Available, Exploit Available, Malware Associated",CGI,CVE-2020-25213,wp-file-manager,"7,5","9,8",,01/12/2023 at 03:25:03 AM (GMT+0100),09/04/2020 at 03:09:30 PM (GMT+0200),Security Patch Installation,"""13966"": ""Security Patch Installation"","
20026,Oracle Database October 2016 Security Update Multiple Vulnerabilities (CPUOCT2016),"Remote Discovery, Multiple Authentication Types Discovery, Patch Available",Database,"CVE-2016-3562,CVE-2016-5499,CVE-2016-5498,CVE-2016-5505,CVE-2016-5516,CVE-2010-5312,CVE-2016-5497,CVE-2016-5572,CVE-2016-5555",CPUOCT2016,"6,5","9,1",,01/31/2023 at 11:01:11 AM (GMT+0100),10/19/2016 at 01:53:52 AM (GMT+0200),Security Patch Installation,"""20026"": ""Security Patch Installation"","
20043,Oracle MySQL JULY 2017 Critical Patch Update (CPUJUL2017),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2017-3646,CVE-2017-3732,CVE-2017-3635,CVE-2017-3641,CVE-2017-3648,CVE-2017-3651,CVE-2017-3652,CVE-2017-3653,CVE-2017-3636,CVE-2017-3633,CVE-2017-3634,CVE-2017-3647,CVE-2017-3649,CVE-2017-3529,CVE-2017-3637,CVE-2017-3638,CVE-2017-3639,CVE-2017-3640,CVE-2017-3642,CVE-2017-3643,CVE-2017-3644,CVE-2017-3645,CVE-2017-3650",MySQL CPU JULY 2017,"5,8","6,5",,04/03/2023 at 02:33:07 PM (GMT+0200),07/19/2017 at 12:57:32 AM (GMT+0200),Security Patch Installation,"""20043"": ""Security Patch Installation"","
20055,Oracle MySQL October 2017 Critical Patch Update (CPUOCT2017),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2017-10165,CVE-2017-10167,CVE-2017-10311,CVE-2017-10313,CVE-2017-10320,CVE-2017-10155,CVE-2017-10227,CVE-2017-10276,CVE-2017-10294,CVE-2017-10283,CVE-2017-10286,CVE-2017-10314,CVE-2017-10268,CVE-2017-10379,CVE-2017-10384,CVE-2017-10378,CVE-2017-10284,CVE-2017-10296,CVE-2017-10365,CVE-2017-3731,CVE-2017-10279",MySQL CPU October 2017,"5,5","7,5",,04/03/2023 at 02:33:07 PM (GMT+0200),10/18/2017 at 02:10:44 AM (GMT+0200),Security Patch Installation,"""20055"": ""Security Patch Installation"","
20059,Oracle Database January 2018 Security Update Multiple Vulnerabilities (CPUJAN2018),"Remote Discovery, Multiple Authentication Types Discovery, Patch Available, Exploit Available, Malware Associated",Database,"CVE-2017-10282,CVE-2018-2680,CVE-2017-12617,CVE-2018-2699,CVE-2018-2575",CPUJAN2018,"6,8","9,1",,01/25/2023 at 07:00:53 AM (GMT+0100),01/17/2018 at 02:19:01 AM (GMT+0100),Security Patch Installation,"""20059"": ""Security Patch Installation"","
20061,Oracle Database January 2018 Patch Set Update (PSU) 12.2.0.1.180116 Not Installed (Patch 27010695),"Remote Discovery, Multiple Authentication Types Discovery, Patch Available, Exploit Available, Malware Associated",Database,"CVE-2017-10282,CVE-2018-2680,CVE-2017-12617",CPUJAN2018,"6,8","9,1",,01/25/2023 at 07:00:39 AM (GMT+0100),01/17/2018 at 02:19:01 AM (GMT+0100),Security Patch Installation,"""20061"": ""Security Patch Installation"","
20063,Oracle MySQL January 2018 Critical Patch Update (CPUJAN2018),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2018-2562,CVE-2018-2591,CVE-2018-2622,CVE-2018-2640,CVE-2018-2665,CVE-2018-2668,CVE-2017-3737,CVE-2018-2573,CVE-2018-2583,CVE-2018-2590,CVE-2018-2612,CVE-2018-2645,CVE-2018-2647,CVE-2018-2696,CVE-2018-2703,CVE-2018-2565,CVE-2018-2586,CVE-2018-2576,CVE-2018-2600,CVE-2018-2646,CVE-2018-2667",MySQL CPUJAN2018,"7,5","7,5",,04/03/2023 at 02:33:07 PM (GMT+0200),01/17/2018 at 02:19:01 AM (GMT+0100),Security Patch Installation,"""20063"": ""Security Patch Installation"","
20071,Oracle MySQL April 2018 Critical Patch Update (CPUAPR2018),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2018-2755,CVE-2018-2761,CVE-2018-2771,CVE-2018-2773,CVE-2018-2781,CVE-2018-2813,CVE-2018-2817,CVE-2018-2818,CVE-2018-2819,CVE-2018-2758,CVE-2018-2766,CVE-2018-2782,CVE-2018-2784,CVE-2018-2787,CVE-2018-2805,CVE-2018-2839,CVE-2018-2759,CVE-2018-2762,CVE-2018-2769,CVE-2018-2775,CVE-2018-2776,CVE-2018-2777,CVE-2018-2778,CVE-2018-2779,CVE-2018-2780,CVE-2018-2786,CVE-2018-2810,CVE-2018-2812,CVE-2018-2816,CVE-2018-2846",MySQL CPUAPR2018,"5,5","7,7",,04/03/2023 at 02:33:07 PM (GMT+0200),04/18/2018 at 02:21:27 AM (GMT+0200),Security Patch Installation,"""20071"": ""Security Patch Installation"","
20088,Oracle MySQL July 2018 Critical Patch Update (CPUJUL2018),"Remote Discovery, Unix Authenticated Discovery, Patch Available",Database,"CVE-2018-3067,CVE-2018-3073,CVE-2018-3074,CVE-2018-3075,CVE-2018-3078,CVE-2018-3079,CVE-2018-3080,CVE-2018-3082,CVE-2018-3084,CVE-2018-3061,CVE-2018-3071,CVE-2018-3063,CVE-2018-3054,CVE-2018-3056,CVE-2018-3060,CVE-2018-3065,CVE-2018-3077,CVE-2018-0739,CVE-2018-3062,CVE-2018-3064,CVE-2018-2767,CVE-2018-3058,CVE-2018-3066,CVE-2018-3070,CVE-2018-3081",MySQL CPUJUL2018,"5,5","7,1",,04/03/2023 at 02:33:07 PM (GMT+0200),07/18/2018 at 02:42:12 AM (GMT+0200),Security Patch Installation,"""20088"": ""Security Patch Installation"","
