QID,Title,Sub Category,Category,CVE ID,Vendor Reference,CVSS Base,CVSS3.1 Base,Bugtraq ID,Modified,Published,Remediation type,concat
377733,Open Secure Sockets Layer (OpenSSL) Less Than 3.0.7 Buffer Overflow Vulnerability (Scan Utility),"Windows Authenticated Discovery, Patch Available",Local,"CVE-2022-3602,CVE-2022-3786",OpenSSL 3.0.7,10,"7,5",,12/07/2022 at 11:30:01 AM (GMT+0100),11/01/2022 at 01:10:41 PM (GMT+0100),Security Patch Installation,"""377733"": ""Security Patch Installation"","
38879,Open Secure Sockets Layer (OpenSSL) Less Than 3.0.7 Buffer Overflow Vulnerability,"Remote Discovery, Multiple Authentication Types Discovery, Patch Available",General remote services,"CVE-2022-3602,CVE-2022-3786",OpenSSL 3.0.7,10,"7,5",,11/07/2022 at 02:33:47 PM (GMT+0100),10/31/2022 at 12:40:23 PM (GMT+0100),Security Patch Installation,"""38879"": ""Security Patch Installation"","
520001,"Open Secure Sockets Layer (OpenSSL) Multiple Vulnerabilities (CVE-2022-3602, CVE-2022-3786)","Remote Discovery, Patch Available",Web Application,"CVE-2022-3602,CVE-2022-3786",OpenSSL 3.0.7,10,"7,5",,11/05/2022 at 05:00:44 PM (GMT+0100),11/01/2022 at 12:04:27 AM (GMT+0100),Security Patch Installation,"""520001"": ""Security Patch Installation"","
354404,Amazon Linux Security Advisory for Open Secure Sockets Layer (OpenSSL) : ALAS2022-2022-157,"Unix Authenticated Discovery, Patch Available",Amazon Linux,"CVE-2022-3602,CVE-2022-3786",ALAS2022-2022-157,"5,4","7,5",,12/21/2022 at 07:02:22 PM (GMT+0100),12/21/2022 at 01:39:57 PM (GMT+0100),Security Patch Installation,"""354404"": ""Security Patch Installation"","
710678,Gentoo Linux Open Secure Sockets Layer (OpenSSL) Multiple Vulnerabilities (GLSA 202211-01),"Unix Authenticated Discovery, Patch Available",GentooOS,"CVE-2022-3602,CVE-2022-3786",GLSA 202211-01,"5,4","7,5",,11/05/2022 at 01:06:02 PM (GMT+0100),11/02/2022 at 03:10:48 PM (GMT+0100),Security Patch Installation,"""710678"": ""Security Patch Installation"","
240798,Red Hat Update for Open Secure Sockets Layer (OpenSSL) (RHSA-2022:7288),"Unix Authenticated Discovery, Patch Available",RedHat,"CVE-2022-3602,CVE-2022-3786",RHSA-2022:7288,10,"7,5",,11/05/2022 at 04:24:39 AM (GMT+0100),11/02/2022 at 01:03:35 AM (GMT+0100),Security Patch Installation,"""240798"": ""Security Patch Installation"","
105708,MongoDB Authentication Failed,Authenticated Discovery,Security Policy,,,'-,'-,,11/01/2017 at 06:35:01 PM (GMT+0100),11/01/2017 at 06:35:01 PM (GMT+0100),Workaround,"""105708"": ""Workaround"","
105709,MongoDB Authentication Not Attempted,Authenticated Discovery,Security Policy,,,'-,'-,,11/01/2017 at 06:34:40 PM (GMT+0100),11/01/2017 at 06:34:40 PM (GMT+0100),Workaround,"""105709"": ""Workaround"","
105717,Palo Alto Networks PAN-OS Authentication Failed,Authenticated Discovery,Security Policy,,,'-,'-,,04/26/2018 at 12:48:55 AM (GMT+0200),04/26/2018 at 12:48:55 AM (GMT+0200),Workaround,"""105717"": ""Workaround"","
105315,Web Authentication Failed,Authenticated Discovery,Security Policy,,,'-,'-,,11/28/2018 at 11:35:30 AM (GMT+0100),11/28/2018 at 11:35:30 AM (GMT+0100),Workaround,"""105315"": ""Workaround"","
