ID,Port_1,Port_2,Port_3,Port_4,Port_5,Port_6,Port_7,Port_8,Port_9,Port_10,CVE
1,RSVP,EIGRP,,SNA,,RSVP,,RSVP,,,2020-123
2,,RSVP,,,IGMP,SCTP,IGMP,NBF,,,2022-15473
3,,,,,RSVP,,,,,SNA,2022-15473
4,,DCCP,,,,FTP,,FTP,,,2018-15473
5,,,,,,OSPF,,,BGP,,2018-15473
6,,RSVP,,OSPF,,,,,,IGMP,2020-123
7,NDP,,,,,,,,RSVP,,2022-15473
8,,,,,,,,BGP,RSVP,,2018-15473
9,,,,,,DCCP,,,,,2021-19256
10,,,ARP,ICMP,NDP,RSVP,SCTP,IPX,,,2021-19256
11,,,,IGMP,,BGP,,,,,2021-1283
12,,,,,,,,,,,2020-123
13,,,,,ARP,RSVP,,,,,2018-15473
14,,RSVP,,,RSVP,HTTP,HTTP,DCCP,,,2022-15473
15,,SCTP,,,,SNA,,,DCCP,,2021-1283
16,IPX,,HTTP,,,,RSVP,,,HTTP,2022-15473
17,,,,ICMP,ICMP,EIGRP,,SCTP,IPX,,2022-15473
18,,RSVP,,,BGP,,ICMP,,,,2022-15473
19,,IPX,,DCCP,IGMP,,,,,,2018-15473
20,,,,BGP,IPX,EIGRP,,,,,2020-123
21,,,,ARP,,,ARP,ICMP,IPX,,2020-123
22,,BGP,OSPF,,,ICMP,,NBF,,,2020-123
23,,HTTP,BGP,ARP,,,,,,,2018-15473
24,,FTP,,ARP,,,NBF,,,ARP,2021-19256
25,SCTP,,,,NBF,OSPF,DCCP,,HTTP,,2022-15473
26,,,,,,NDP,,EIGRP,,NBF,2018-15473
27,ICMP,,,,,,,,,,2020-123
28,,,,,IGMP,,OSPF,ARP,,NBF,2020-123
29,,ARP,,,,NBF,,FTP,,,2021-19256
30,,IGMP,,FTP,DCCP,RSVP,,,,,2021-1283
31,DCCP,,,,NBF,HTTP,,OSPF,,,2022-15473
32,,,,,,,,SNA,,,2018-15473
33,,,ICMP,,IGMP,,,,,,2021-19256
34,,OSPF,,DCCP,HTTP,,NDP,,,,2018-15473
35,,,,HTTP,,IPX,,SCTP,NBF,,2021-1283
36,ARP,,EIGRP,,HTTP,,,,DCCP,,2021-19256
37,ICMP,,,EIGRP,,OSPF,,,,,2021-19256
38,,,,,,,,,,OSPF,2020-123
39,,,,,,HTTP,,SNA,,,2018-15473
40,,BGP,,,,ARP,,,,OSPF,2021-1283
41,,,IPX,BGP,,FTP,,EIGRP,,NDP,2020-123
42,,EIGRP,NDP,,SCTP,,EIGRP,,,,2021-19256
43,,,FTP,,,OSPF,OSPF,ICMP,ARP,,2018-15473
44,IGMP,,,,,,,IPX,IGMP,,2021-19256
45,HTTP,DCCP,NDP,,,,,IGMP,,,2018-15473
46,,,,,RSVP,,DCCP,,ICMP,,2020-123
47,,,NBF,,,,,,IPX,,2018-15473
48,FTP,,,,,,,SCTP,RSVP,ARP,2021-1283
49,,,IGMP,,,,ICMP,,,,2018-15473
50,,,DCCP,,,,,,FTP,,2018-15473
51,,,,,,,ARP,,,NDP,2021-1283
52,NBF,SNA,,,SCTP,,,,,IGMP,2022-15473
53,,ICMP,,,,BGP,HTTP,,RSVP,,2022-15473
54,,EIGRP,,,,,,,,,2021-1283
55,,,,,,NBF,IGMP,,,,2020-123
56,,,BGP,NDP,,,NBF,,,OSPF,2018-15473
57,,,,,NDP,,,EIGRP,OSPF,IGMP,2018-15473
58,,RSVP,,NBF,NBF,,,,,,2020-123
59,,RSVP,,,DCCP,BGP,,,BGP,,2018-15473
60,,,,,,,,,,RSVP,2022-15473
61,,,,ICMP,,,,,,OSPF,2018-15473
62,,,IPX,,,ARP,,,,ARP,2020-123
63,,,NDP,,NDP,IPX,BGP,,,,2020-123
64,,,,DCCP,,,,,OSPF,,2020-123
65,,,,,IGMP,ARP,OSPF,,NDP,ARP,2018-15473
66,,,HTTP,BGP,,,NBF,,,,2018-15473
67,,IGMP,ICMP,,,,,,,OSPF,2020-123
68,,,NDP,,IGMP,SCTP,,EIGRP,OSPF,,2021-19256
69,,,,,,SCTP,,NDP,,,2018-15473
70,NDP,,,,,,,FTP,,,2020-123
71,,,OSPF,,,,,,,,2021-1283
72,FTP,,,SCTP,,,SNA,,,,2022-15473
73,,OSPF,,DCCP,,,,,SNA,ICMP,2021-1283
74,HTTP,,,,OSPF,HTTP,,,EIGRP,,2021-19256
75,,ARP,IPX,,RSVP,NDP,IGMP,,OSPF,,2018-15473
76,OSPF,,,IGMP,,,,ARP,,,2021-19256
77,NBF,,,FTP,SNA,NBF,,EIGRP,,,2021-1283
78,,,NDP,,,,ARP,,,,2021-1283
79,ICMP,EIGRP,,,,,,,,,2018-15473
