ID,Port_1,Port_2,Port_3,Port_4,Port_5,Port_6,Port_7,Port_8,Port_9,Port_10,CVE
1,FTP,,IGMP,,OSPF,,OSPF,DCCP,,,2020-123
2,IGMP,OSPF,,,SNA,ARP,,,,,2018-15473
3,,,,,,,,IGMP,,OSPF,2022-15473
4,NBF,,,,NBF,,,,HTTP,FTP,2022-15473
5,,,NDP,,BGP,,ICMP,,,,2018-15473
6,,,,,,,,,,IPX,2020-123
7,,DCCP,,,OSPF,,,,ARP,RSVP,2021-1283
8,,IPX,,,,,,,,,2021-19256
9,,,,,,ICMP,BGP,HTTP,,SCTP,2020-123
10,,,,,IPX,,,BGP,,,2021-1283
11,ICMP,,,ARP,SCTP,HTTP,,,,NBF,2018-15473
12,,FTP,NDP,,EIGRP,DCCP,,,,,2018-15473
13,ARP,SCTP,,,,,,,,,2020-123
14,,,,IPX,,,,,,ICMP,2022-15473
15,,,,SNA,,,OSPF,SCTP,ARP,FTP,2022-15473
16,NDP,,,,,NDP,,ARP,,HTTP,2021-19256
17,SNA,,,,,,,,,EIGRP,2022-15473
18,ARP,ARP,,,FTP,NBF,IGMP,,,,2018-15473
19,ARP,FTP,,,,,,SCTP,,,2020-123
